 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 37661.62 sec, current time: 488103836.62)
0.005	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.006	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.006	                       -	                   -	Blocking app contact
0.024	                       -	                   -	SecItemCopyMatching() returned errSecItemNotFound. Will attempt to regenerate the key.
0.025	                       -	                   -	Creating a new encryption key
1.361	                       -	                   -	Liveness: 2 -> 3 (server_show_windows_for_asns)
1.361	                       -	                   -	server_show_windows_for_asns start
1.361	                       -	                   -	Allowing apps to contact us
1.362	                       -	                   -	TAL launch still in progress because Finder has not checked in
1.362	                       -	                   -	Still waiting for registration from Finder
1.363	                       -	                   -	Liveness: 3 -> 4 (add_app)
1.363	                       -	                   -	Finder not yet launched, but pretending it is
1.363	        com.apple.finder	                   -	Skipping window creation because plist is unavailable: 1
1.363	        com.apple.finder	                   -	Skipping window creation because the archive was created prior to 10.10 (prev: 10.0)
1.363	                       -	                   -	loginwindow launched no apps (but we still have to handle Finder)
1.363	                       -	                   -	Bitmaps Ready (0 apps, 0 windows)
1.364	        com.apple.finder	                   -	Disposing because it has no windows
1.364	        com.apple.finder	            Disposed	
1.364	                       -	                   -	server_show_windows_for_asns end
2.727	                       -	                   -	TAL launch still in progress because Finder has not checked in
2.774	                       -	                   -	Still waiting for registration from Finder
2.774	                       -	                   -	TAL launch still in progress because Finder has not checked in
2.774	                       -	                   -	Still waiting for registration from Finder
2.774	                       -	                   -	TAL launch still in progress because Finder has not checked in
2.774	                       -	                   -	Still waiting for registration from Finder
2.774	                       -	                   -	TAL launch still in progress because Finder has not checked in
2.774	                       -	                   -	Still waiting for registration from Finder
2.775	                       -	                   -	TAL launch still in progress because Finder has not checked in
2.775	                       -	                   -	Still waiting for registration from Finder
2.775	        com.apple.finder	                   -	Finder checked in
2.775	                       -	                   -	All started apps have registered (no remaining unregistered apps)
2.776	                       -	                   -	TAL Relaunch - all apps registered as ready
2.776	                       -	                   -	Liveness: 4 -> 3 (__server_show_windows_for_asns_block_invoke30)
3.006	                       -	                   -	Liveness: 3 -> 2 (__create_xpc_listener_block_invoke)
3.364	                       -	                   -	Liveness: 2 -> 1 (__remove_app_block_invoke)
15.005	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.005	                       -	                   -	Exiting out of boredom
